75.17,88.92,91.18,91.73,91.92,92.06,92.09,92.11,92.07,92.07,92.05,92.08,92.04
74.01,88.56,91.11,91.67,91.98,92.08,92.10,92.07,92.06,92.07,92.08,92.07,92.05
72.84,88.43,91.05,91.62,91.95,92.07,92.09,92.09,92.10,92.12,92.09,92.07,92.03
71.71,88.29,90.92,91.59,91.91,92.07,92.09,92.11,92.08,92.18,92.12,92.08,92.09
71.04,88.21,90.93,91.56,91.87,92.01,92.10,92.10,92.07,92.15,92.06,92.06,92.12
71.07,88.17,90.84,91.56,91.95,92.08,92.07,92.14,92.13,92.18,92.09,92.14,92.10
70.81,88.25,90.84,91.57,91.95,92.04,92.08,92.09,92.09,92.16,92.04,92.08,92.07
70.73,88.16,90.87,91.59,91.96,92.03,92.05,92.11,92.08,92.17,92.05,92.03,92.09
70.58,88.19,90.84,91.58,91.90,92.06,92.08,92.06,92.07,92.16,92.07,92.06,92.13
70.56,88.16,90.83,91.57,91.90,92.04,92.10,92.05,92.04,92.20,92.07,92.11,92.11
